,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
0,3733.0,0.69,0.57,3.0,154.0,4.0,1.0,0.0,hr,medium
1,870.0,0.13,0.85,5.0,309.0,5.0,0.0,0.0,product_mng,low
2,13512.0,0.71,0.5,3.0,179.0,3.0,0.0,0.0,RandD,medium
3,2772.0,0.87,0.79,5.0,271.0,4.0,0.0,0.0,support,low
4,13305.0,0.14,0.81,5.0,286.0,4.0,0.0,0.0,technical,low
5,8438.0,0.13,0.73,3.0,200.0,4.0,0.0,0.0,sales,low
6,14256.0,0.44,0.44,2.0,260.0,5.0,0.0,0.0,IT,medium
7,8547.0,0.92,0.71,4.0,201.0,2.0,0.0,0.0,IT,medium
8,7795.0,0.61,0.7,,199.0,,,,,
9,13705.0,,0.8,3.0,248.0,3.0,0.0,1.0,management,medium
10,14325.0,0.86,0.99,4.0,232.0,3.0,0.0,0.0,accounting,low
11,6930.0,0.69,0.8,3.0,266.0,3.0,0.0,0.0,sales,medium
12,3619.0,0.78,0.6,2.0,124.0,3.0,0.0,0.0,marketing,medium
13,8737.0,0.17,0.44,4.0,163.0,4.0,0.0,0.0,IT,low
14,7317.0,0.6,0.5,,204.0,,,,,
15,7135.0,0.66,0.68,,197.0,,,,,
16,7657.0,0.72,0.55,3.0,138.0,3.0,0.0,0.0,sales,low
17,,0.72,0.6,4.0,200.0,5.0,0.0,0.0,sales,low
18,7524.0,0.61,0.7,,197.0,,,,,
19,3207.0,0.91,0.98,4.0,257.0,7.0,0.0,0.0,IT,medium
20,8855.0,0.13,0.47,3.0,160.0,2.0,0.0,0.0,support,low
21,7275.0,0.59,0.71,,197.0,,,,,
22,8145.0,0.72,0.79,4.0,244.0,10.0,0.0,0.0,hr,medium
23,13404.0,0.71,0.87,5.0,233.0,10.0,0.0,0.0,management,medium
24,14922.0,0.74,0.54,3.0,220.0,7.0,0.0,0.0,sales,medium
25,3693.0,0.66,0.66,3.0,186.0,3.0,0.0,0.0,technical,medium
26,8376.0,0.91,0.79,3.0,,2.0,0.0,0.0,sales,low
27,13949.0,0.7,0.71,4.0,167.0,3.0,0.0,0.0,hr,medium
28,7391.0,0.62,,3.0,198.0,2.0,0.0,0.0,sales,medium
29,12352.0,0.87,0.77,3.0,253.0,4.0,0.0,0.0,sales,low
30,13015.0,0.62,0.96,4.0,259.0,6.0,0.0,0.0,sales,low
31,734.0,0.67,0.94,4.0,256.0,5.0,0.0,0.0,product_mng,low
32,4443.0,0.61,0.58,3.0,140.0,2.0,0.0,0.0,support,medium
33,11404.0,0.81,1.0,5.0,199.0,3.0,1.0,0.0,technical,low
34,2700.0,0.87,0.84,4.0,275.0,4.0,0.0,0.0,IT,medium
35,10542.0,0.6,0.69,4.0,258.0,4.0,0.0,0.0,support,low
36,10196.0,0.82,0.9,3.0,196.0,2.0,0.0,0.0,sales,low
37,13431.0,,,6.0,264.0,8.0,0.0,0.0,RandD,low
38,7607.0,0.6,0.7,,199.0,,,,,
39,3843.0,0.7,0.84,4.0,273.0,5.0,0.0,0.0,accounting,low
40,7432.0,0.58,0.72,,196.0,,,,,
41,7872.0,0.63,0.58,4.0,151.0,2.0,0.0,0.0,sales,medium
42,14650.0,0.36,0.36,2.0,133.0,6.0,0.0,0.0,technical,low
43,14982.0,0.81,0.79,3.0,219.0,10.0,0.0,0.0,management,high
44,7946.0,0.85,0.79,6.0,,4.0,0.0,0.0,sales,low
45,7400.0,0.6,0.7,,201.0,,,,,
46,13487.0,0.81,0.85,4.0,213.0,10.0,0.0,0.0,management,high
47,7257.0,0.62,,,200.0,,,,,
48,14075.0,0.78,0.71,4.0,269.0,10.0,0.0,0.0,management,high
49,7795.0,0.9,0.83,3.0,211.0,3.0,0.0,0.0,sales,medium
50,3639.0,0.73,0.77,5.0,268.0,5.0,0.0,0.0,sales,low
51,12395.0,0.65,0.48,2.0,151.0,3.0,0.0,0.0,RandD,medium
52,8270.0,0.74,0.72,3.0,270.0,3.0,1.0,0.0,product_mng,medium
