,index,Unnamed: 0,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
0,0,0,3733.0,0.69,0.57,3.0,154.0,4.0,1.0,0.0,hr,medium
1,1,1,870.0,0.13,0.85,5.0,309.0,5.0,0.0,0.0,product_mng,low
2,2,2,13512.0,0.71,0.5,3.0,179.0,3.0,0.0,0.0,RandD,medium
3,3,3,2772.0,0.87,0.79,5.0,271.0,4.0,0.0,0.0,support,low
4,4,4,13305.0,0.14,0.81,5.0,286.0,4.0,0.0,0.0,technical,low
5,5,5,8438.0,0.13,0.73,3.0,200.0,4.0,0.0,0.0,sales,low
6,6,6,14256.0,0.44,0.44,2.0,260.0,5.0,0.0,0.0,IT,medium
7,7,7,8547.0,0.92,0.71,4.0,201.0,2.0,0.0,0.0,IT,medium
8,10,10,14325.0,0.86,0.99,4.0,232.0,3.0,0.0,0.0,accounting,low
9,11,11,6930.0,0.69,0.8,3.0,266.0,3.0,0.0,0.0,sales,medium
10,12,12,3619.0,0.78,0.6,2.0,124.0,3.0,0.0,0.0,marketing,medium
11,13,13,8737.0,0.17,0.44,4.0,163.0,4.0,0.0,0.0,IT,low
12,16,16,7657.0,0.72,0.55,3.0,138.0,3.0,0.0,0.0,sales,low
13,19,19,3207.0,0.91,0.98,4.0,257.0,7.0,0.0,0.0,IT,medium
14,20,20,8855.0,0.13,0.47,3.0,160.0,2.0,0.0,0.0,support,low
15,22,22,8145.0,0.72,0.79,4.0,244.0,10.0,0.0,0.0,hr,medium
16,23,23,13404.0,0.71,0.87,5.0,233.0,10.0,0.0,0.0,management,medium
17,24,24,14922.0,0.74,0.54,3.0,220.0,7.0,0.0,0.0,sales,medium
18,25,25,3693.0,0.66,0.66,3.0,186.0,3.0,0.0,0.0,technical,medium
19,27,27,13949.0,0.7,0.71,4.0,167.0,3.0,0.0,0.0,hr,medium
20,29,29,12352.0,0.87,0.77,3.0,253.0,4.0,0.0,0.0,sales,low
21,30,30,13015.0,0.62,0.96,4.0,259.0,6.0,0.0,0.0,sales,low
22,31,31,734.0,0.67,0.94,4.0,256.0,5.0,0.0,0.0,product_mng,low
23,32,32,4443.0,0.61,0.58,3.0,140.0,2.0,0.0,0.0,support,medium
24,33,33,11404.0,0.81,1.0,5.0,199.0,3.0,1.0,0.0,technical,low
25,34,34,2700.0,0.87,0.84,4.0,275.0,4.0,0.0,0.0,IT,medium
26,35,35,10542.0,0.6,0.69,4.0,258.0,4.0,0.0,0.0,support,low
27,36,36,10196.0,0.82,0.9,3.0,196.0,2.0,0.0,0.0,sales,low
28,39,39,3843.0,0.7,0.84,4.0,273.0,5.0,0.0,0.0,accounting,low
29,41,41,7872.0,0.63,0.58,4.0,151.0,2.0,0.0,0.0,sales,medium
30,42,42,14650.0,0.36,0.36,2.0,133.0,6.0,0.0,0.0,technical,low
31,43,43,14982.0,0.81,0.79,3.0,219.0,10.0,0.0,0.0,management,high
32,46,46,13487.0,0.81,0.85,4.0,213.0,10.0,0.0,0.0,management,high
33,48,48,14075.0,0.78,0.71,4.0,269.0,10.0,0.0,0.0,management,high
34,49,49,7795.0,0.9,0.83,3.0,211.0,3.0,0.0,0.0,sales,medium
35,50,50,3639.0,0.73,0.77,5.0,268.0,5.0,0.0,0.0,sales,low
36,51,51,12395.0,0.65,0.48,2.0,151.0,3.0,0.0,0.0,RandD,medium
37,52,52,8270.0,0.74,0.72,3.0,270.0,3.0,1.0,0.0,product_mng,medium
38,53,53,14768.0,0.57,0.97,4.0,200.0,2.0,0.0,0.0,product_mng,medium
39,57,57,1890.0,0.99,0.72,4.0,234.0,3.0,0.0,0.0,technical,medium
40,58,58,10133.0,0.85,0.92,4.0,230.0,2.0,0.0,0.0,marketing,low
41,59,59,8549.0,0.62,0.81,4.0,204.0,3.0,0.0,0.0,sales,low
42,60,60,4652.0,0.64,0.76,3.0,147.0,2.0,1.0,1.0,sales,medium
43,61,61,869.0,0.14,0.98,7.0,265.0,4.0,0.0,0.0,RandD,low
44,62,62,12079.0,0.7,0.67,3.0,203.0,10.0,0.0,0.0,sales,medium
45,63,63,8333.0,0.64,0.75,5.0,189.0,2.0,0.0,0.0,RandD,low
46,67,67,2821.0,0.76,0.78,5.0,204.0,2.0,0.0,0.0,product_mng,medium
47,68,68,7559.0,0.45,0.83,3.0,199.0,2.0,0.0,0.0,hr,medium
48,69,69,7394.0,0.64,0.55,3.0,140.0,3.0,0.0,0.0,sales,low
49,70,70,11310.0,0.95,0.74,3.0,146.0,10.0,0.0,0.0,sales,medium
50,71,71,3763.0,0.58,0.5,4.0,206.0,3.0,0.0,0.0,sales,medium
51,72,72,2891.0,0.48,0.45,2.0,155.0,3.0,0.0,0.0,RandD,low
52,73,73,5624.0,0.78,0.45,3.0,141.0,3.0,0.0,0.0,technical,medium
53,75,75,8094.0,0.67,0.7,4.0,271.0,3.0,0.0,0.0,sales,low
54,77,77,13423.0,0.9,0.99,4.0,271.0,10.0,0.0,1.0,management,medium
55,78,78,2314.0,0.6,0.97,3.0,181.0,3.0,0.0,0.0,technical,medium
